# file...... distribution_load.csv
# date...... Wed Jul 26 23:24:26 2017
# user...... hieutn
# host...... (null)
# target.... substation 52
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,distribution_load,positive_sequence_voltage
2004-07-01 15:50:00 CDT,+388081-131244j,+2401+0i
2004-07-01 15:55:00 CDT,+358876-139261j,+2401+0i
2004-07-01 16:00:00 CDT,+426429-298970j,+2401+0i
2004-07-01 16:05:00 CDT,+429220-298020j,+2401+0i
2004-07-01 16:10:00 CDT,+432768-297036j,+2401+0i
2004-07-01 16:15:00 CDT,+407725-303946j,+2401+0i
2004-07-01 16:20:00 CDT,+420429-300506j,+2401+0i
2004-07-01 16:25:00 CDT,+460195-289426j,+2401+0i
2004-07-01 16:30:00 CDT,+416474-301689j,+2401+0i
2004-07-01 16:35:00 CDT,+405083-304774j,+2401+0i
2004-07-01 16:40:00 CDT,+378829-312169j,+2401+0i
2004-07-01 16:45:00 CDT,+391978-308572j,+2401+0i
2004-07-01 16:50:00 CDT,+419464-300738j,+2401+0i
2004-07-01 16:55:00 CDT,+456839-290206j,+2401+0i
2004-07-01 17:00:00 CDT,+479203-611502j,+2401+0i
2004-07-01 17:05:00 CDT,+453855-618979j,+2401+0i
2004-07-01 17:10:00 CDT,+422159-628133j,+2401+0i
2004-07-01 17:15:00 CDT,+457774-617781j,+2401+0i
2004-07-01 17:20:00 CDT,+486404-609245j,+2401+0i
2004-07-01 17:25:00 CDT,+487761-608626j,+2401+0i
2004-07-01 17:30:00 CDT,+460989-616577j,+2401+0i
2004-07-01 17:35:00 CDT,+445572-621589j,+2401+0i
2004-07-01 17:40:00 CDT,+423016-627899j,+2401+0i
2004-07-01 17:45:00 CDT,+427956-625923j,+2401+0i
2004-07-01 17:50:00 CDT,+463658-615760j,+2401+0i
2004-07-01 17:55:00 CDT,+469837-614386j,+2401+0i
2004-07-01 18:00:00 CDT,+415396-540575j,+2401+0i
2004-07-01 18:05:00 CDT,+399917-544672j,+2401+0i
2004-07-01 18:10:00 CDT,+407638-542491j,+2401+0i
2004-07-01 18:15:00 CDT,+441859-532855j,+2401+0i
2004-07-01 18:20:00 CDT,+470733-524325j,+2401+0i
