#time	topic  value
44760000000000   clear_price   0
44820000000000   clear_price   0
44880000000000   clear_price   0
44940000000000   clear_price   0
45000000000000   clear_price   0
45060000000000   clear_price   0
45120000000000   clear_price   0
45180000000000   clear_price   0
45240000000000   clear_price   0
45300000000000   clear_price   0
45360000000000   clear_price   0
45420000000000   clear_price   0
45480000000000   clear_price   0
45540000000000   clear_price   0
45600000000000   clear_price   0
45660000000000   clear_price   0
45720000000000   clear_price   0
45780000000000   clear_price   0
45840000000000   clear_price   0
45900000000000   clear_price   0
45960000000000   clear_price   0
46020000000000   clear_price   0
46080000000000   clear_price   0
46140000000000   clear_price   0
46200000000000   clear_price   0
46260000000000   clear_price   0
46320000000000   clear_price   0
46380000000000   clear_price   0
46440000000000   clear_price   0
46500000000000   clear_price   0
46560000000000   clear_price   0
46620000000000   clear_price   0
46680000000000   clear_price   0
46740000000000   clear_price   0
46800000000000   clear_price   0.2
46860000000000   clear_price   0.2
46920000000000   clear_price   0.2
46980000000000   clear_price   0.2
47040000000000   clear_price   0.2
47100000000000   clear_price   0.2
47160000000000   clear_price   0.2
47220000000000   clear_price   0.2
47280000000000   clear_price   0.2
47340000000000   clear_price   0.2
47400000000000   clear_price   0.2
47460000000000   clear_price   0.2
47520000000000   clear_price   0.2
47580000000000   clear_price   0.2
47640000000000   clear_price   0.2
47700000000000   clear_price   0.2
47760000000000   clear_price   0.2
47820000000000   clear_price   0.2
47880000000000   clear_price   0.2
47940000000000   clear_price   0.2
48000000000000   clear_price   0.2
48060000000000   clear_price   0.2
48120000000000   clear_price   0.2
48180000000000   clear_price   0.2
48240000000000   clear_price   0.2
48300000000000   clear_price   0.2
48360000000000   clear_price   0.2
48420000000000   clear_price   0.2
48480000000000   clear_price   0.2
48540000000000   clear_price   0.2
48600000000000   clear_price   0.2
48660000000000   clear_price   0.2
48720000000000   clear_price   0.2
48780000000000   clear_price   0.2
48840000000000   clear_price   0.2
48900000000000   clear_price   0.2
48960000000000   clear_price   0.2
49020000000000   clear_price   0.2
49080000000000   clear_price   0.2
49140000000000   clear_price   0.2
49200000000000   clear_price   0.2
49260000000000   clear_price   0.2
49320000000000   clear_price   0.2
49380000000000   clear_price   0.2
49440000000000   clear_price   0.2
49500000000000   clear_price   0.2
49560000000000   clear_price   0.2
49620000000000   clear_price   0.2
49680000000000   clear_price   0.2
49740000000000   clear_price   0.2
49800000000000   clear_price   0.2
49860000000000   clear_price   0.2
49920000000000   clear_price   0.2
49980000000000   clear_price   0.2
50040000000000   clear_price   0.2
50100000000000   clear_price   0.2
50160000000000   clear_price   0.2
50220000000000   clear_price   0.2
50280000000000   clear_price   0.2
50340000000000   clear_price   0.2
50400000000000   clear_price   0.2
50460000000000   clear_price   0.2
50520000000000   clear_price   0.2
50580000000000   clear_price   0.2
50640000000000   clear_price   0.2
50700000000000   clear_price   0.2
50760000000000   clear_price   0.2
50820000000000   clear_price   0.2
50880000000000   clear_price   0.2
50940000000000   clear_price   0.2
51000000000000   clear_price   0.2
51060000000000   clear_price   0.2
51120000000000   clear_price   0.2
51180000000000   clear_price   0.2
51240000000000   clear_price   0.2
51300000000000   clear_price   0.2
51360000000000   clear_price   0.2
51420000000000   clear_price   0.2
51480000000000   clear_price   0.2
51540000000000   clear_price   0.2
51600000000000   clear_price   0.2
51660000000000   clear_price   0.2
51720000000000   clear_price   0.2
51780000000000   clear_price   0.2
51840000000000   clear_price   0.2
51900000000000   clear_price   0.2
51960000000000   clear_price   0.2
52020000000000   clear_price   0.2
52080000000000   clear_price   0.2
52140000000000   clear_price   0.2
52200000000000   clear_price   0.2
52260000000000   clear_price   0.2
52320000000000   clear_price   0.2
52380000000000   clear_price   0.2
52440000000000   clear_price   0.2
52500000000000   clear_price   0.2
52560000000000   clear_price   0.2
52620000000000   clear_price   0.2
52680000000000   clear_price   0.2
52740000000000   clear_price   0.2
52800000000000   clear_price   0.2
52860000000000   clear_price   0.2
52920000000000   clear_price   0.2
52980000000000   clear_price   0.2
53040000000000   clear_price   0.2
53100000000000   clear_price   0.2
53160000000000   clear_price   0.2
53220000000000   clear_price   0.2
53280000000000   clear_price   0.2
53340000000000   clear_price   0.2
53400000000000   clear_price   0.2
53460000000000   clear_price   0.2
53520000000000   clear_price   0.2
53580000000000   clear_price   0.2
53640000000000   clear_price   0.2
53700000000000   clear_price   0.2
53760000000000   clear_price   0.2
53820000000000   clear_price   0.2
53880000000000   clear_price   0.2
53940000000000   clear_price   0.2
54000000000000   clear_price   0.2
54060000000000   clear_price   0.2
54120000000000   clear_price   0.2
54180000000000   clear_price   0.2
54240000000000   clear_price   0.2
54300000000000   clear_price   0.2
54360000000000   clear_price   0.2
54420000000000   clear_price   0.2
54480000000000   clear_price   0.2
54540000000000   clear_price   0.2
54600000000000   clear_price   0.2
54660000000000   clear_price   0.2
54720000000000   clear_price   0.2
54780000000000   clear_price   0.2
54840000000000   clear_price   0.2
54900000000000   clear_price   0.2
54960000000000   clear_price   0.2
55020000000000   clear_price   0.2
55080000000000   clear_price   0.2
55140000000000   clear_price   0.2
55200000000000   clear_price   0.2
55260000000000   clear_price   0.2
55320000000000   clear_price   0.2
55380000000000   clear_price   0.2
55440000000000   clear_price   0.2
55500000000000   clear_price   0.2
55560000000000   clear_price   0.2
55620000000000   clear_price   0.2
55680000000000   clear_price   0.2
55740000000000   clear_price   0.2
55800000000000   clear_price   0.2
55860000000000   clear_price   0.2
55920000000000   clear_price   0.2
55980000000000   clear_price   0.2
56040000000000   clear_price   0.2
56100000000000   clear_price   0.2
56160000000000   clear_price   0.2
56220000000000   clear_price   0.2
56280000000000   clear_price   0.2
56340000000000   clear_price   0.2
56400000000000   clear_price   0.2
56460000000000   clear_price   0.2
56520000000000   clear_price   0.2
56580000000000   clear_price   0.2
56640000000000   clear_price   0.2
56700000000000   clear_price   0.2
56760000000000   clear_price   0.2
56820000000000   clear_price   0.2
56880000000000   clear_price   0.2
56940000000000   clear_price   0.2
57000000000000   clear_price   0.2
57060000000000   clear_price   0.2
57120000000000   clear_price   0.2
57180000000000   clear_price   0.2
57240000000000   clear_price   0.2
57300000000000   clear_price   0.2
57360000000000   clear_price   0.2
57420000000000   clear_price   0.2
57480000000000   clear_price   0.2
57540000000000   clear_price   0.2
57600000000000   clear_price   0.2
57660000000000   clear_price   0.2
57720000000000   clear_price   0.2
57780000000000   clear_price   0.2
57840000000000   clear_price   0.2
57900000000000   clear_price   0.2
57960000000000   clear_price   0.2
58020000000000   clear_price   0.2
58080000000000   clear_price   0.2
58140000000000   clear_price   0.2
58200000000000   clear_price   0.2
58260000000000   clear_price   0.2
58320000000000   clear_price   0.2
58380000000000   clear_price   0.2
58440000000000   clear_price   0.2
58500000000000   clear_price   0.2
58560000000000   clear_price   0.2
58620000000000   clear_price   0.2
58680000000000   clear_price   0.2
58740000000000   clear_price   0.2
58800000000000   clear_price   0.2
58860000000000   clear_price   0.2
58920000000000   clear_price   0.2
58980000000000   clear_price   0.2
59040000000000   clear_price   0.2
59100000000000   clear_price   0.2
59160000000000   clear_price   0.2
59220000000000   clear_price   0.2
59280000000000   clear_price   0.2
59340000000000   clear_price   0.2
59400000000000   clear_price   0.2
59460000000000   clear_price   0.2
59520000000000   clear_price   0.2
59580000000000   clear_price   0.2
59640000000000   clear_price   0.2
59700000000000   clear_price   0.2
59760000000000   clear_price   0.2
59820000000000   clear_price   0.2
59880000000000   clear_price   0.2
59940000000000   clear_price   0.2
60000000000000   clear_price   0.2
60060000000000   clear_price   0.2
60120000000000   clear_price   0.2
60180000000000   clear_price   0.2
60240000000000   clear_price   0.2
60300000000000   clear_price   0.2
60360000000000   clear_price   0.2
60420000000000   clear_price   0.2
60480000000000   clear_price   0.2
60540000000000   clear_price   0.2
60600000000000   clear_price   0.2
60660000000000   clear_price   0.2
60720000000000   clear_price   0.2
60780000000000   clear_price   0.2
60840000000000   clear_price   0.2
60900000000000   clear_price   0.2
60960000000000   clear_price   0.2
61020000000000   clear_price   0.2
61080000000000   clear_price   0.2
61140000000000   clear_price   0.2
61200000000000   clear_price   0.2
61260000000000   clear_price   0.2
61320000000000   clear_price   0.2
61380000000000   clear_price   0.2
61440000000000   clear_price   0.2
61500000000000   clear_price   0.2
61560000000000   clear_price   0.2
61620000000000   clear_price   0.2
61680000000000   clear_price   0.2
61740000000000   clear_price   0.2
61800000000000   clear_price   0.2
61860000000000   clear_price   0.2
61920000000000   clear_price   0.2
61980000000000   clear_price   0.2
62040000000000   clear_price   0.2
62100000000000   clear_price   0.2
62160000000000   clear_price   0.2
62220000000000   clear_price   0.2
62280000000000   clear_price   0.2
62340000000000   clear_price   0.2
62400000000000   clear_price   0.2
62460000000000   clear_price   0.2
62520000000000   clear_price   0.2
62580000000000   clear_price   0.2
