#nanoseconds	topic	value
0	eplus_control/controller_house_15_10_thermostat_controller_cooling_setpoint	74.8822886431202
0	eplus_control/controller_house_15_11_thermostat_controller_cooling_setpoint	74.85165949039688
0	eplus_control/controller_house_15_12_thermostat_controller_cooling_setpoint	74.66982142189205
60000000000	player/clear_price	-0.2
60000000000	player/clear_price	-0.2
60000000000	player/clear_price	-0.2
60000000000	player/clear_price	-0.2
300000000000	player/clear_price	-0.2
300000000000	eplus_control/controller_house_1_1_thermostat_controller_cooling_setpoint	72.96826307075152
300000000000	eplus_control/controller_house_1_2_thermostat_controller_cooling_setpoint	72.05842049946574
300000000000	eplus_control/controller_house_1_3_thermostat_controller_cooling_setpoint	71.64988299765727
300000000000	eplus_control/controller_house_1_4_thermostat_controller_cooling_setpoint	71.88898682300665
300000000000	eplus_control/controller_house_1_5_thermostat_controller_cooling_setpoint	72.88599051638332
300000000000	eplus_control/controller_house_1_6_thermostat_controller_cooling_setpoint	72.54387415815542
300000000000	eplus_control/controller_house_1_7_thermostat_controller_cooling_setpoint	72.52068918811372
300000000000	eplus_control/controller_house_1_8_thermostat_controller_cooling_setpoint	71.65409732774522
300000000000	eplus_control/controller_house_1_9_thermostat_controller_cooling_setpoint	72.97348582134512
300000000000	eplus_control/controller_house_1_10_thermostat_controller_cooling_setpoint	72.20100058242242
300000000000	eplus_control/controller_house_1_11_thermostat_controller_cooling_setpoint	72.11072573224601
300000000000	eplus_control/controller_house_1_12_thermostat_controller_cooling_setpoint	72.01972676723406
300000000000	eplus_control/controller_house_2_1_thermostat_controller_cooling_setpoint	71.82155984810775
300000000000	eplus_control/controller_house_2_2_thermostat_controller_cooling_setpoint	71.80730140446009
300000000000	eplus_control/controller_house_2_3_thermostat_controller_cooling_setpoint	72.00621468125942
300000000000	eplus_control/controller_house_2_4_thermostat_controller_cooling_setpoint	71.88493519117779
300000000000	eplus_control/controller_house_2_5_thermostat_controller_cooling_setpoint	72.65684871393306
300000000000	eplus_control/controller_house_2_6_thermostat_controller_cooling_setpoint	72.02538126588041
300000000000	eplus_control/controller_house_2_7_thermostat_controller_cooling_setpoint	72.23094739886189
