# file...... distribution_load.csv
# date...... Wed Jul 26 22:24:25 2017
# user...... hieutn
# host...... (null)
# target.... substation 52
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,distribution_load,positive_sequence_voltage
2004-07-01 16:45:00 CDT,+467864-288472j,+2401+0i
2004-07-01 16:50:00 CDT,+474196-286442j,+2401+0i
2004-07-01 16:55:00 CDT,+476894-285857j,+2401+0i
2004-07-01 17:00:00 CDT,+559838-589954j,+2401+0i
2004-07-01 17:05:00 CDT,+557632-590614j,+2401+0i
2004-07-01 17:10:00 CDT,+559408-590016j,+2401+0i
2004-07-01 17:15:00 CDT,+513311-603679j,+2401+0i
2004-07-01 17:20:00 CDT,+499186-607843j,+2401+0i
2004-07-01 17:25:00 CDT,+499430-607756j,+2401+0i
2004-07-01 17:30:00 CDT,+512078-604116j,+2401+0i
2004-07-01 17:35:00 CDT,+506653-605671j,+2401+0i
2004-07-01 17:40:00 CDT,+495163-609073j,+2401+0i
2004-07-01 17:45:00 CDT,+528208-599294j,+2401+0i
2004-07-01 17:50:00 CDT,+575799-585181j,+2401+0i
2004-07-01 17:55:00 CDT,+574009-585787j,+2401+0i
2004-07-01 18:00:00 CDT,+537250-507283j,+2401+0i
2004-07-01 18:05:00 CDT,+522597-511483j,+2401+0i
2004-07-01 18:10:00 CDT,+494520-519521j,+2401+0i
2004-07-01 18:15:00 CDT,+502172-517147j,+2401+0i
2004-07-01 18:20:00 CDT,+488561-521048j,+2401+0i
2004-07-01 18:25:00 CDT,+470302-526225j,+2401+0i
2004-07-01 18:30:00 CDT,+447198-533018j,+2401+0i
2004-07-01 18:35:00 CDT,+460509-529178j,+2401+0i
2004-07-01 18:40:00 CDT,+442763-534362j,+2401+0i
2004-07-01 18:45:00 CDT,+407115-544312j,+2401+0i
2004-07-01 18:50:00 CDT,+443547-533633j,+2401+0i
2004-07-01 18:55:00 CDT,+413429-542104j,+2401+0i
2004-07-01 19:00:00 CDT,+375245-279109j,+2401+0i
2004-07-01 19:05:00 CDT,+407571-270222j,+2401+0i
2004-07-01 19:10:00 CDT,+388089-275714j,+2401+0i
2004-07-01 19:15:00 CDT,+403534-271478j,+2401+0i
2004-07-01 19:20:00 CDT,+411817-269231j,+2401+0i
2004-07-01 19:25:00 CDT,+407144-270578j,+2401+0i
2004-07-01 19:30:00 CDT,+402981-271629j,+2401+0i
2004-07-01 19:35:00 CDT,+408261-270114j,+2401+0i
2004-07-01 19:40:00 CDT,+389409-275236j,+2401+0i
2004-07-01 19:45:00 CDT,+405420-270876j,+2401+0i
2004-07-01 19:50:00 CDT,+396537-273400j,+2401+0i
2004-07-01 19:55:00 CDT,+394556-273956j,+2401+0i
2004-07-01 20:00:00 CDT,+400395-129275j,+2401+0i
2004-07-01 20:05:00 CDT,+411083-126300j,+2401+0i
2004-07-01 20:10:00 CDT,+393871-131077j,+2401+0i
2004-07-01 20:15:00 CDT,+367796-138085j,+2401+0i
2004-07-01 20:20:00 CDT,+362629-139536j,+2401+0i
2004-07-01 20:25:00 CDT,+319715-151181j,+2401+0i
2004-07-01 20:30:00 CDT,+301388-156053j,+2401+0i
2004-07-01 20:35:00 CDT,+345761-143986j,+2401+0i
2004-07-01 20:40:00 CDT,+322895-150298j,+2401+0i
2004-07-01 20:45:00 CDT,+286882-161269j,+2401+0i
2004-07-01 20:50:00 CDT,+278056-163642j,+2401+0i
2004-07-01 20:55:00 CDT,+299045-156784j,+2401+0i
2004-07-01 21:00:00 CDT,+274945-99027.8j,+2401+0i
2004-07-01 21:05:00 CDT,+265336-101336j,+2401+0i
2004-07-01 21:10:00 CDT,+276696-98437.6j,+2401+0i
2004-07-01 21:15:00 CDT,+245675-106695j,+2401+0i
2004-07-01 21:20:00 CDT,+250137-105547j,+2401+0i
2004-07-01 21:25:00 CDT,+213428-115226j,+2401+0i
2004-07-01 21:30:00 CDT,+253437-105784j,+2401+0i
2004-07-01 21:35:00 CDT,+219037-114964j,+2401+0i
2004-07-01 21:40:00 CDT,+200338-120091j,+2401+0i
2004-07-01 21:45:00 CDT,+211425-115855j,+2401+0i
2004-07-01 21:50:00 CDT,+196546-119678j,+2401+0i
2004-07-01 21:55:00 CDT,+209634-116254j,+2401+0i
2004-07-01 22:00:00 CDT,+183883-57423.9j,+2401+0i
2004-07-01 22:05:00 CDT,+166799-61977j,+2401+0i
2004-07-01 22:10:00 CDT,+181231-58192.1j,+2401+0i
2004-07-01 22:15:00 CDT,+206388-52866.5j,+2401+0i
2004-07-01 22:20:00 CDT,+174813-59898.2j,+2401+0i
2004-07-01 22:25:00 CDT,+159878-63704.6j,+2401+0i
2004-07-01 22:30:00 CDT,+182988-57698.9j,+2401+0i
2004-07-01 22:35:00 CDT,+131740-71026.1j,+2401+0i
2004-07-01 22:40:00 CDT,+165904-63480j,+2401+0i
2004-07-01 22:45:00 CDT,+194905-54637.4j,+2401+0i
2004-07-01 22:50:00 CDT,+154462-65161.7j,+2401+0i
2004-07-01 22:55:00 CDT,+150955-66027.9j,+2401+0i
2004-07-01 23:00:00 CDT,+132909-25366.1j,+2401+0i
2004-07-01 23:05:00 CDT,+146002-22001.6j,+2401+0i
2004-07-01 23:10:00 CDT,+98436.8-34221.4j,+2401+0i
2004-07-01 23:15:00 CDT,+122209-28116.2j,+2401+0i
2004-07-01 23:20:00 CDT,+113034-30482.8j,+2401+0i
2004-07-01 23:25:00 CDT,+125500-27263j,+2401+0i
2004-07-01 23:30:00 CDT,+116946-29493j,+2401+0i
2004-07-01 23:35:00 CDT,+114551-30096.3j,+2401+0i
2004-07-01 23:40:00 CDT,+92171.1-35829.8j,+2401+0i
2004-07-01 23:45:00 CDT,+85162.7-37625.8j,+2401+0i
2004-07-01 23:50:00 CDT,+95481.9-34964.4j,+2401+0i
2004-07-01 23:55:00 CDT,+89126.6-36599.4j,+2401+0i
2004-07-02 00:00:00 CDT,+87786.3-19108.1j,+2401+0i
2004-07-02 00:05:00 CDT,+82640.3-19196.8j,+2401+0i
2004-07-02 00:10:00 CDT,+76831.1-20680.2j,+2401+0i
2004-07-02 00:15:00 CDT,+104168-13706.1j,+2401+0i
2004-07-02 00:20:00 CDT,+86431-18220.6j,+2401+0i
2004-07-02 00:25:00 CDT,+76852.5-20671.8j,+2401+0i
2004-07-02 00:30:00 CDT,+86793.2-18142.8j,+2401+0i
2004-07-02 00:35:00 CDT,+74475.5-21259.7j,+2401+0i
2004-07-02 00:40:00 CDT,+70948.2-22183.3j,+2401+0i
2004-07-02 00:45:00 CDT,+84317-18763.1j,+2401+0i
2004-07-02 00:50:00 CDT,+87150.6-18048.2j,+2401+0i
2004-07-02 00:55:00 CDT,+74299-22645.1j,+2401+0i
2004-07-02 01:00:00 CDT,+81094.3-15768.3j,+2401+0i
2004-07-02 01:05:00 CDT,+58714.7-20146.2j,+2401+0i
2004-07-02 01:10:00 CDT,+65934-18327.3j,+2401+0i
2004-07-02 01:15:00 CDT,+58686.4-20155.3j,+2401+0i
2004-07-02 01:20:00 CDT,+57930.4-20361.7j,+2401+0i
2004-07-02 01:25:00 CDT,+49022-22637j,+2401+0i
2004-07-02 01:30:00 CDT,+54207.3-22619.8j,+2401+0i
2004-07-02 01:35:00 CDT,+54207.3-22619.8j,+2401+0i
2004-07-02 01:40:00 CDT,+51466.8-21991.1j,+2401+0i
2004-07-02 01:45:00 CDT,+48919.1-22637.2j,+2401+0i
2004-07-02 01:50:00 CDT,+48919.1-22637.2j,+2401+0i
2004-07-02 01:55:00 CDT,+48919.1-22637.2j,+2401+0i
2004-07-02 02:00:00 CDT,+46021.7-18841.1j,+2401+0i
2004-07-02 02:05:00 CDT,+46021.7-18841.1j,+2401+0i
2004-07-02 02:10:00 CDT,+51310.4-18823.5j,+2401+0i
2004-07-02 02:15:00 CDT,+51310.4-18823.5j,+2401+0i
2004-07-02 02:20:00 CDT,+46021.7-18841j,+2401+0i
2004-07-02 02:25:00 CDT,+50909.5-18824.2j,+2401+0i
2004-07-02 02:30:00 CDT,+46021.7-18841.1j,+2401+0i
2004-07-02 02:35:00 CDT,+46021.7-18841.1j,+2401+0i
2004-07-02 02:40:00 CDT,+46021.7-18841.1j,+2401+0i
2004-07-02 02:45:00 CDT,+51276.8-18817.6j,+2401+0i
2004-07-02 02:50:00 CDT,+51324.9-18817.5j,+2401+0i
2004-07-02 02:55:00 CDT,+46069.7-18841j,+2401+0i
2004-07-02 03:00:00 CDT,+44618.6-19186.4j,+2401+0i
2004-07-02 03:05:00 CDT,+44617.6-19188.6j,+2401+0i
2004-07-02 03:10:00 CDT,+44569-19188.6j,+2401+0i
2004-07-02 03:15:00 CDT,+44568.9-19188.7j,+2401+0i
2004-07-02 03:20:00 CDT,+44568.9-19188.7j,+2401+0i
2004-07-02 03:25:00 CDT,+50041.7-19165.6j,+2401+0i
2004-07-02 03:30:00 CDT,+55580.2-19149.6j,+2401+0i
2004-07-02 03:35:00 CDT,+50106.8-19171.2j,+2401+0i
2004-07-02 03:40:00 CDT,+44617-19188.5j,+2401+0i
2004-07-02 03:45:00 CDT,+44617-19188.5j,+2401+0i
2004-07-02 03:50:00 CDT,+44569-19188.6j,+2401+0i
2004-07-02 03:55:00 CDT,+44621.9-19188.6j,+2401+0i
2004-07-02 04:00:00 CDT,+45188-23351.1j,+2401+0i
2004-07-02 04:05:00 CDT,+45188-23351.1j,+2401+0i
2004-07-02 04:10:00 CDT,+50792.3-23330j,+2401+0i
2004-07-02 04:15:00 CDT,+45188-23351.1j,+2401+0i
2004-07-02 04:20:00 CDT,+45188-23351.1j,+2401+0i
2004-07-02 04:25:00 CDT,+45188-23351.1j,+2401+0i
2004-07-02 04:30:00 CDT,+49979.2-23336.3j,+2401+0i
2004-07-02 04:35:00 CDT,+50626.6-23330.9j,+2401+0i
2004-07-02 04:40:00 CDT,+45188.1-23351j,+2401+0i
2004-07-02 04:45:00 CDT,+45233.7-23351j,+2401+0i
2004-07-02 04:50:00 CDT,+45233.7-23351j,+2401+0i
2004-07-02 04:55:00 CDT,+45188.1-23351j,+2401+0i
2004-07-02 05:00:00 CDT,+49175-40066.8j,+2401+0i
2004-07-02 05:05:00 CDT,+53979.6-40048.3j,+2401+0i
